index,gender,occupation,educational_qualification,income,installment,arrears,deposit,shopping_frequency,average_cost,ages,number_of_browsing,number_of_raise,passive_income
0,0,1,4,93833,9,0,300000,1,26886,32,2,1,24260
1,1,1,3,35847,9,0,37097,10,25565,33,7,1,4122
2,0,1,2,59811,3,0,54093,0,9925,32,1,0,5123
3,0,1,1,37878,6,0,75028,3,3000,35,3,1,10426
4,1,1,1,28000,3,0,59304,7,39968,32,1,2,9657
5,1,1,4,28000,3,0,55825,7,40987,36,8,2,8923
6,0,1,4,48516,6,1,30000,10,3000,22,6,1,5024
7,1,1,5,48928,0,0,65098,5,28404,37,10,2,33679
8,0,0,2,35970,3,0,134431,10,50028,30,2,1,2492
9,0,1,4,41010,0,0,44871,4,3000,38,10,1,2224
10,0,1,3,72378,3,0,167737,0,65021,32,3,0,11180
11,0,1,4,28000,3,0,34483,6,90600,20,9,0,6945
12,1,1,5,32073,0,1,166703,5,41888,34,8,0,6983
13,1,1,1,28000,9,0,30000,2,100000,37,10,0,4224
14,0,0,3,86193,3,0,128625,8,23559,23,10,1,2816
15,0,1,3,70141,24,1,96659,10,26477,31,2,1,10652
16,1,1,4,85554,18,0,30000,0,76087,38,2,1,1519
17,1,1,4,76800,48,0,85084,5,28347,20,1,0,4065
18,1,1,4,28000,3,0,72713,3,70717,26,5,0,20721
19,0,0,4,63165,24,0,86807,6,3000,26,7,0,598
20,1,0,5,28000,3,0,117823,5,3000,40,5,1,5662
21,1,1,1,28686,0,0,30000,1,3000,32,8,0,11263
22,0,1,4,28000,6,0,138984,1,71572,22,2,0,2366
23,1,1,3,125621,3,0,92470,0,63824,44,10,1,6878
24,1,1,4,59816,9,0,93410,6,17406,38,8,0,9588
25,0,1,5,35247,0,0,136571,8,3000,40,3,1,8217
26,1,1,4,130623,36,0,30000,9,44875,27,2,3,7739
27,0,1,5,57892,3,0,72279,9,3000,34,1,0,6686
28,0,0,3,44702,0,0,30000,7,57481,36,9,1,5932
29,1,0,4,28000,3,0,100760,3,10160,31,3,0,2090
30,1,1,4,28000,0,1,69578,5,36359,29,5,0,10855
31,1,1,3,86794,3,0,30000,1,29039,40,3,2,7403
32,0,1,3,43414,3,0,30000,10,40418,25,10,0,6190
33,1,0,4,51700,6,1,103877,0,3038,23,7,0,4967
34,1,0,5,28000,3,0,150843,4,23230,32,2,1,1116
35,0,1,3,53102,12,0,50328,10,57624,25,1,0,376
36,0,0,5,138093,24,1,153102,8,57814,30,5,0,6846
37,0,1,1,117042,24,0,130934,10,61181,34,5,1,2159
38,0,1,2,28000,0,1,47176,3,59880,43,4,0,3669
39,0,0,5,40093,3,0,199890,5,70564,34,2,0,3713
40,1,1,4,38512,0,0,53193,0,3000,31,10,0,321
41,0,1,1,57675,9,0,69778,5,41083,28,1,0,620
42,0,0,4,170808,0,2,237857,7,13093,24,6,1,7000
43,0,1,4,66255,24,0,30000,8,74785,36,9,1,31834
44,1,1,3,56967,0,0,73970,2,46699,21,1,0,5274
45,1,0,4,28000,0,0,30000,0,24393,36,6,3,25145
46,0,1,4,30204,3,0,71631,6,57910,39,2,0,3312
47,0,1,3,167984,12,0,264933,7,39433,33,2,1,17261
48,0,0,5,69149,0,0,80617,0,61855,20,5,1,4796
49,1,0,4,40031,12,0,34784,0,82085,28,10,0,8574
50,0,1,4,81292,6,0,158884,0,23894,36,7,2,1195
51,0,1,4,53406,0,1,66566,1,24854,37,6,1,9034
52,1,0,1,28000,9,1,120256,0,59072,28,10,0,9940
53,1,1,4,84967,18,0,69945,10,11553,33,7,0,25497
54,1,1,4,84544,3,0,65487,6,31070,37,5,0,5109
55,0,1,4,28000,9,0,51818,1,57705,29,10,0,18659
56,0,1,2,28000,0,0,51939,9,28396,37,1,1,3398
57,1,1,1,88290,3,0,88138,0,35996,29,2,0,2005
58,0,0,4,74761,3,0,135570,3,38636,25,7,0,1801
59,1,1,4,28000,9,0,199714,1,83663,34,10,2,6929
60,1,0,4,122454,3,1,98534,6,10419,21,10,0,8328
61,1,1,3,85313,0,0,42736,8,19860,20,9,0,20591
62,0,1,3,37210,3,0,46314,3,26836,28,8,1,2374
63,1,1,3,94577,0,1,36333,4,47434,36,1,0,336
64,1,1,4,85431,0,0,168049,5,38212,39,2,0,12448
65,0,1,4,28000,24,0,167009,4,23137,31,5,0,22938
66,1,1,4,114900,6,0,68499,7,80810,35,6,0,2954
67,0,1,4,37720,3,0,68896,3,44596,28,5,1,6646
68,0,1,4,102349,0,0,30000,3,10432,31,2,1,12273
69,1,1,4,44036,3,2,30000,3,3000,29,8,1,4899
70,0,1,4,28000,24,0,217697,3,3369,39,6,1,626
71,1,1,2,28000,9,0,59023,6,28841,31,7,0,11844
72,0,1,2,123485,0,0,36967,0,100000,34,5,0,1972
73,1,1,3,28000,0,1,87768,5,10392,38,9,0,1123
74,0,1,3,28000,0,0,45695,0,3699,30,7,1,5244
75,1,1,4,116871,6,0,30000,0,3000,41,8,0,835
76,1,1,2,85542,24,0,84195,10,48050,30,4,1,16571
77,0,0,3,28000,3,1,33729,4,53339,35,4,0,3671
78,1,0,3,83870,9,0,185844,3,73502,35,3,0,8187
79,0,1,4,28000,0,0,30000,2,62622,32,1,0,8901
80,0,1,5,90336,0,0,74603,9,59827,20,7,0,5031
81,1,1,3,68381,3,0,30000,10,26782,41,3,0,17036
82,0,0,1,78694,3,0,82823,6,32595,23,2,3,9080
83,0,1,2,92570,36,0,32429,9,12677,39,10,1,6391
84,0,1,3,80406,0,0,30000,2,29496,27,8,0,7803
85,0,1,4,28000,0,0,30000,2,43756,38,8,2,222
86,1,1,3,54564,3,0,166744,5,23350,27,2,0,1376
87,0,1,4,79305,3,0,31527,0,6427,38,9,0,9116
88,1,1,4,63786,3,0,30000,3,24556,23,2,2,4068
89,1,1,4,28000,0,1,30000,6,9187,33,8,0,2317
90,1,1,5,28000,24,0,57559,7,3000,26,9,2,40000
91,1,1,4,28000,9,0,37365,10,26522,28,6,2,29162
92,1,1,4,64681,36,0,30000,1,16408,21,1,1,10121
93,1,1,4,29738,6,0,84639,3,5852,37,5,2,542
94,0,1,4,28000,18,0,78196,2,3000,24,8,0,4164
95,0,0,4,28000,48,0,64767,9,54324,36,9,2,5605
96,0,1,3,41818,0,0,69188,9,44427,23,5,0,7317
97,0,0,4,80719,3,0,30000,3,27332,23,1,0,5767
